symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
002466.SZ,cn_stock,C,v1,2016-11-30,61,7.601851851851795,0,,-0.0283644400785854,,0.2260135349819434,-0.1381271325666624,-0.0156282909979359,False,16.884942094532903,,2016,na,,na,2016-11-30,2016-11-30,0.5851466414380322,False,False
600196.SS,cn_stock,C,v1,2016-12-05,65,3.9743589743589705,0,,-0.0666115622113093,,0.2299774404890802,0.0338594572068553,0.1625253945929052,True,22.996343075977244,,2016,na,,na,2016-12-05,2016-11-30,0.5558183538315988,False,False
002008.SZ,cn_stock,C,v1,2016-12-05,65,0.3599999999999994,1,,-0.0099295474963355,,0.2253960364085932,-0.0386837957877643,0.114141076460194,False,15.47190030775069,,2016,na,,na,2016-12-05,2016-11-30,0.49337748344370863,False,False
002555.SZ,cn_stock,C,v1,2016-12-05,58,3.1666666666666567,0,,-0.0078752559458181,,,-0.1341482775043658,0.2428956977297982,False,16.13181065355265,,2016,na,,na,2016-12-05,2016-11-30,0.3268684957426679,False,False
300014.SZ,cn_stock,C,v1,2016-12-06,66,2.081632653061226,0,,-0.1091384530690889,,0.3038449781821626,-0.0497450950100417,0.1408929399042175,False,27.86716688301071,,2016,na,,na,2016-12-06,2016-11-30,0.739356669820246,False,True
603799.SS,cn_stock,C,v1,2016-12-06,66,1.2198879551820727,1,,-0.0404091213950369,,0.4925500680327076,0.1152367639349991,0.7219115848331294,False,20.3968287713624,,2016,na,,na,2016-12-06,2016-11-30,0.9536423841059603,True,True
601238.SS,cn_stock,C,v1,2016-12-07,57,1.1917404129793494,1,,-0.0234341185927161,,,-0.0768646321387869,0.0484361149803722,False,38.40823659272718,,2016,na,,na,2016-12-07,2016-11-30,0.6447492904446547,False,False
000831.SZ,cn_stock,C,v1,2016-12-07,67,2.1956521739130515,0,,-0.0282838366192498,,0.2094885776438595,0.0419484633164968,0.0650629226949748,False,25.923189842833462,,2016,na,,na,2016-12-07,2016-11-30,0.002838221381267739,False,False
002230.SZ,cn_stock,C,v1,2016-12-07,67,4.696850393700834,0,,-0.0035723951285522,,0.1688704414438629,-0.0376989515997608,0.1607909174860122,False,17.64986498782936,,2016,na,,na,2016-12-07,2016-11-30,0.22469252601702933,False,False
600588.SS,cn_stock,C,v1,2016-12-13,71,2.1913696060037564,0,,-0.0819833087874325,,0.2379208857450817,-0.0706951871657753,-0.1575401069518716,False,24.611836586045907,,2016,na,,na,2016-12-13,2016-11-30,0.16887417218543047,False,False
