,A1,U0,U1,U2,A1xU0,A1xU1,A1xU2
2025-10,6.273207,6840.2001953125,7.276494,23791701.28226696,7.1325577584162065,4.046809000652654,7.113698760454723
2025-11,6.273207,6849.08984375,7.246294,23822384.367983095,7.137192559235044,4.038411162915159,7.118285868922423
2025-12,6.330349,6845.5,7.244924,23809993.834851984,7.167828113065466,4.056422144360011,7.148854550761836
2026-01,6.330349,6939.02978515625,7.283402,24132816.771567356,7.216794983524305,4.067194031771852,7.197317692672649
2026-02,6.330349,6878.8798828125,7.321306,23925206.243163884,7.185516150104218,4.077777198990981,7.166359041152452
2026-03,6.19457,6528.52001953125,7.204342,22715920.882541083,6.925466617530776,4.001472334255359,6.908394110914521
2026-04,6.780378,7209.009765625,7.322576,25064666.769978862,7.613862744543187,4.223512986475433,7.592202324885842
2026-05,7.151667,7580.06005859375,7.444248,26345366.228928342,8.018271890099602,4.374240338889942,7.994039170490731
2026-06,7.691433,7499.35986328125,7.417786,26066825.291399587,8.27817524219958,4.531536842344102,8.25345165263846
2026-07,5.922538,7489.72021484375,7.34738,26033553.541525483,7.3209371505859435,3.988944186770531,7.299109563475006
2026-08,6.151704,7675.7001953125,7.529826,26675473.15424446,7.553469331290436,4.115643666308292,7.530313527661549
