,equity
1997-07-28,2.769549
1997-08-04,2.808722
1997-08-11,2.771104
1997-08-18,2.699418
1997-08-25,2.720307
1997-09-02,2.738736
1997-09-09,2.75131
1997-09-16,2.782952
1997-09-23,2.796594
1997-09-30,2.785294
1997-10-07,2.890174
1997-10-14,2.852427
1997-10-21,2.858307
1997-10-28,2.64691
1997-11-04,2.670369
1997-11-11,2.649081
1997-11-18,2.667197
1997-11-25,2.684041
1997-12-03,2.741913
1997-12-10,2.725111
1997-12-17,2.715779
1997-12-24,2.623618
1998-01-02,2.738877
1998-01-09,2.613444
1998-01-16,2.650374
1998-01-26,2.640541
1998-02-02,2.738091
1998-02-09,2.757833
1998-02-17,2.789986
1998-02-24,2.811264
1998-03-03,2.869804
1998-03-10,2.903166
1998-03-17,2.947358
1998-03-24,3.016101
1998-03-31,3.005463
1998-04-07,3.02674
1998-04-15,3.053392
1998-04-22,3.083999
1998-04-29,2.986013
1998-05-06,3.01411
1998-05-13,3.052137
1998-05-20,3.052683
1998-05-28,2.994142
1998-06-04,2.986585
1998-06-11,2.985903
1998-06-18,2.995337
1998-06-25,3.017418
1998-07-02,3.02905
1998-07-10,3.052829
1998-07-17,3.110547
1998-07-24,3.028701
1998-07-31,3.010052
1998-08-07,3.001366
1998-08-14,3.001366
1998-08-21,3.001366
1998-08-28,3.001366
1998-09-04,3.001366
1998-09-14,3.001366
1998-09-21,3.001366
1998-09-28,3.001366
1998-10-05,3.001366
1998-10-12,3.001366
1998-10-19,3.001366
1998-10-26,3.001366
1998-11-02,3.001366
1998-11-09,3.009137
1998-11-16,3.009915
1998-11-23,3.059236
1998-12-01,3.047052
1998-12-08,3.05177
1998-12-15,3.03954
1998-12-22,3.0536
1998-12-30,3.071393
1999-01-07,3.093199
1999-01-14,3.042712
1999-01-22,3.052159
1999-01-29,3.091725
1999-02-05,3.062484
1999-02-12,3.053966
1999-02-22,3.052901
1999-03-01,3.03429
1999-03-08,3.060191
1999-03-15,3.075231
1999-03-22,3.067729
1999-03-29,3.077142
1999-04-06,3.082664
1999-04-13,3.105504
1999-04-20,3.059347
1999-04-27,3.152239
1999-05-04,3.095189
1999-05-11,3.138691
1999-05-18,3.096701
1999-05-25,2.984778
1999-06-02,3.009619
1999-06-09,3.054233
1999-06-16,3.076364
1999-06-23,3.080801
1999-06-30,3.167905
1999-07-08,3.213667
1999-07-15,3.248698
1999-07-22,3.136576
1999-07-29,3.090621
1999-08-05,3.066377
1999-08-12,3.035069
1999-08-19,3.030345
1999-08-26,3.056668
1999-09-02,3.029731
1999-09-10,3.022363
1999-09-17,3.012326
1999-09-24,3.012326
1999-10-01,3.012326
1999-10-08,3.012326
1999-10-15,3.012326
1999-10-22,3.012326
1999-10-29,3.012326
1999-11-05,3.012326
1999-11-12,3.012326
1999-11-19,3.012326
1999-11-29,3.012326
1999-12-06,3.012326
1999-12-13,3.012326
1999-12-20,3.012326
1999-12-28,3.012326
2000-01-04,3.012326
2000-01-11,3.012326
2000-01-19,3.012326
2000-01-26,3.012326
2000-02-02,3.012326
2000-02-09,3.012326
2000-02-16,3.012326
2000-02-24,3.012326
2000-03-02,3.012326
2000-03-09,3.012326
2000-03-16,3.012326
2000-03-23,3.012326
2000-03-30,3.012326
2000-04-06,3.008012
2000-04-13,2.985061
2000-04-20,2.9341
2000-04-28,2.940042
2000-05-05,2.932892
2000-05-12,2.918213
2000-05-19,2.902541
2000-05-26,2.877209
2000-06-05,2.887325
2000-06-12,2.877383
2000-06-19,2.906926
2000-06-26,2.890843
2000-07-03,2.900124
2000-07-11,2.907156
2000-07-18,2.914232
2000-07-25,2.899106
2000-08-01,2.864221
2000-08-08,2.892928
2000-08-15,2.876332
2000-08-22,2.901929
2000-08-29,2.924611
2000-09-06,2.890539
2000-09-13,2.876321
2000-09-20,2.815067
2000-09-27,2.805665
2000-10-04,2.788884
2000-10-11,2.788884
2000-10-18,2.788884
2000-10-25,2.788884
2000-11-01,2.788884
2000-11-08,2.788884
2000-11-15,2.788884
2000-11-22,2.788884
2000-11-30,2.788884
2000-12-07,2.788884
2000-12-14,2.788884
2000-12-21,2.788884
2000-12-29,2.788884
2001-01-08,2.788884
2001-01-16,2.788884
2001-01-23,2.788884
2001-01-30,2.788884
2001-02-06,2.788884
2001-02-13,2.788884
2001-02-21,2.788884
2001-02-28,2.788884
2001-03-07,2.788884
2001-03-14,2.788884
2001-03-21,2.788884
2001-03-28,2.788884
2001-04-04,2.788884
2001-04-11,2.788884
2001-04-19,2.788884
2001-04-26,2.788884
2001-05-03,2.788884
2001-05-10,2.788884
2001-05-17,2.788884
2001-05-24,2.788884
2001-06-01,2.788884
2001-06-08,2.788884
2001-06-15,2.788884
2001-06-22,2.788884
2001-06-29,2.788884
2001-07-09,2.788884
2001-07-16,2.788884
2001-07-23,2.788884
2001-07-30,2.788884
2001-08-06,2.788884
2001-08-13,2.788884
2001-08-20,2.788884
2001-08-27,2.788884
2001-09-04,2.788884
2001-09-17,2.788884
2001-09-24,2.788884
2001-10-01,2.788884
2001-10-08,2.788884
2001-10-15,2.788884
2001-10-22,2.788884
2001-10-29,2.788884
2001-11-05,2.788884
2001-11-12,2.788884
2001-11-19,2.788884
2001-11-27,2.788884
2001-12-04,2.788884
2001-12-11,2.788884
2001-12-18,2.788884
2001-12-26,2.788884
2002-01-03,2.788884
2002-01-10,2.76522
2002-01-17,2.76522
2002-01-25,2.76522
2002-02-01,2.76522
2002-02-08,2.76522
2002-02-15,2.76522
2002-02-25,2.76522
2002-03-04,2.76522
2002-03-11,2.756142
2002-03-18,2.751177
2002-03-25,2.674472
2002-04-02,2.65071
2002-04-09,2.648059
2002-04-16,2.648059
2002-04-23,2.648059
2002-04-30,2.648059
2002-05-07,2.648059
2002-05-14,2.648059
2002-05-21,2.648059
2002-05-29,2.648059
2002-06-05,2.648059
2002-06-12,2.648059
2002-06-19,2.648059
2002-06-26,2.648059
2002-07-03,2.648059
2002-07-11,2.648059
2002-07-18,2.648059
2002-07-25,2.648059
2002-08-01,2.648059
2002-08-08,2.648059
2002-08-15,2.648059
2002-08-22,2.648059
2002-08-29,2.648059
2002-09-06,2.648059
2002-09-13,2.648059
2002-09-20,2.648059
2002-09-27,2.648059
2002-10-04,2.648059
2002-10-11,2.648059
2002-10-18,2.648059
2002-10-25,2.648059
2002-11-01,2.648059
2002-11-08,2.648059
2002-11-15,2.648059
2002-11-22,2.648059
2002-12-02,2.648059
2002-12-09,2.648059
2002-12-16,2.648059
2002-12-23,2.648059
2002-12-31,2.648059
2003-01-08,2.648059
2003-01-15,2.648059
2003-01-23,2.648059
2003-01-30,2.648059
2003-02-06,2.648059
2003-02-13,2.648059
2003-02-21,2.648059
2003-02-28,2.648059
2003-03-07,2.648059
2003-03-14,2.648059
2003-03-21,2.648059
2003-03-28,2.627609
2003-04-04,2.627609
2003-04-11,2.627609
2003-04-21,2.621052
2003-04-28,2.614991
2003-05-05,2.642127
2003-05-12,2.689157
2003-05-19,2.623062
2003-05-27,2.703413
2003-06-03,2.75645
2003-06-10,2.789654
2003-06-17,2.859219
2003-06-24,2.780406
2003-07-01,2.777192
2003-07-09,2.830776
2003-07-16,2.808204
2003-07-23,2.790363
2003-07-30,2.787453
2003-08-06,2.730655
2003-08-13,2.778515
2003-08-20,2.824455
2003-08-27,2.814544
2003-09-04,2.902584
2003-09-11,2.869972
2003-09-18,2.935366
2003-09-25,2.832841
2003-10-02,2.879788
2003-10-09,2.926095
2003-10-16,2.954374
2003-10-23,2.909601
