,equity
2004-11-26,4.515112
2004-12-03,4.610419
2004-12-10,4.5692
2004-12-17,4.583976
2004-12-27,4.623392
2005-01-03,4.619102
2005-01-10,4.504896
2005-01-18,4.523547
2005-01-25,4.345139
2005-02-01,4.446165
2005-02-08,4.483426
2005-02-15,4.488669
2005-02-23,4.368556
2005-03-02,4.443679
2005-03-09,4.430809
2005-03-16,4.336435
2005-03-23,4.269612
2005-03-31,4.251562
2005-04-07,4.240881
2005-04-14,4.109668
2005-04-21,4.109668
2005-04-28,4.109668
2005-05-05,4.109668
2005-05-12,4.109668
2005-05-19,4.170393
2005-05-26,4.228891
2005-06-03,4.229279
2005-06-10,4.212067
2005-06-17,4.267419
2005-06-24,4.192202
2005-07-01,4.200573
2005-07-11,4.359949
2005-07-18,4.379223
2005-07-25,4.423875
2005-08-01,4.48235
2005-08-08,4.419077
2005-08-15,4.424488
2005-08-22,4.372159
2005-08-29,4.364482
2005-09-06,4.424121
2005-09-13,4.434104
2005-09-20,4.351578
2005-09-27,4.321136
2005-10-04,4.367973
2005-10-11,4.22996
2005-10-18,4.224396
2005-10-25,4.217355
2005-11-01,4.174099
2005-11-08,4.273759
2005-11-15,4.301899
2005-11-22,4.433352
2005-11-30,4.392551
2005-12-07,4.430303
2005-12-14,4.451116
2005-12-21,4.390268
2005-12-29,4.36371
2006-01-06,4.535768
2006-01-13,4.558234
2006-01-23,4.423338
2006-01-30,4.53805
2006-02-06,4.44366
2006-02-13,4.406302
2006-02-21,4.451844
2006-02-28,4.488101
2006-03-07,4.462506
2006-03-14,4.516646
2006-03-21,4.51336
2006-03-28,4.533486
2006-04-04,4.613947
2006-04-11,4.545073
2006-04-19,4.664151
2006-04-26,4.590871
2006-05-03,4.532522
2006-05-10,4.565513
2006-05-17,4.35294
2006-05-24,4.35294
2006-06-01,4.35294
2006-06-08,4.35294
2006-06-15,4.35294
2006-06-22,4.35294
2006-06-29,4.35294
2006-07-07,4.35294
2006-07-14,4.35294
2006-07-21,4.35294
2006-07-28,4.35294
2006-08-04,4.35294
2006-08-11,4.35294
2006-08-18,4.35294
2006-08-25,4.35294
2006-09-01,4.35294
2006-09-11,4.35294
2006-09-18,4.376028
2006-09-25,4.316852
2006-10-02,4.293119
2006-10-09,4.435424
2006-10-16,4.535327
2006-10-23,4.51944
2006-10-30,4.535192
2006-11-06,4.539375
