,0
2026-04-21,1442832.79
2026-04-27,1442832.79
2026-04-28,1431641.04
2026-05-06,1431641.04
2026-05-07,1431641.04
2026-05-08,1431641.04
2026-05-12,1431641.04
2026-05-14,1431641.04
2026-05-18,1441241.85
2026-05-19,1441241.85
2026-05-22,1426665.14
2026-05-25,1426665.14
2026-05-26,1414491.19
2026-05-27,1414491.19
2026-05-28,1414491.19
2026-05-29,1414491.19
2026-06-01,1383291.96
2026-06-02,1384341.29
2026-06-03,1374038.48
2026-06-04,1374038.48
2026-06-05,1374038.48
2026-06-08,1329069.06
2026-06-09,1306432.14
2026-06-10,1302461.43
2026-06-16,1302461.43
2026-06-17,1302461.43
2026-06-18,1302461.43
2026-06-22,1302461.43
2026-06-29,1292848.35
2026-07-01,1292848.35
2026-07-03,1379549.69
2026-07-06,1379549.69
2026-07-08,1373378.45
2026-07-09,1364145.0
2026-07-10,1364145.0
2026-07-17,1386250.06
2026-07-20,1386250.06
2026-07-27,1380825.91
2026-07-29,1380825.91
2026-08-10,1380825.91
2026-08-11,1380825.91
2026-08-14,1379430.55
2026-08-18,1379303.08
2026-08-20,1375049.49
2026-08-21,1365063.82
