module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,^IXIC,2024-10-08,2024-10-09,18179.220703125,17900.0390625,2025-01-02,exit_a6_1_costbasis,58,4.321560916741877,True,ohlcv,0.4884602738192681,1.4347248165326953,1.9110472152846278,1.1586318830846294,1.4347248165326953,1.9110472152846278,0.9462645427134272
A,^IXIC,2024-10-14,2024-10-15,18515.970703125,18208.439453125,2024-11-01,structure_stop_C,13,-1.1212413436134565,False,ohlcv,0.07816786911899197,0.16654811502896047,-1.0925401381973376,0.07816786911899197,0.2074547810181892,0.6398676455644752,0.0883802459099685
A,^IXIC,2024-11-05,2024-11-06,18772.759765625,18112.830078125,2025-01-02,exit_a6_1_costbasis,38,0.9279289549076035,False,ohlcv,0.7707497247576092,0.3253542635934226,0.6084602999846102,0.7970546104580271,0.7970546104580271,0.7970546104580271,-0.44539546116418655
A,^IXIC,2024-11-18,2024-11-19,18699.7109375,18598.869140625,2025-01-02,exit_a6_1_costbasis,29,6.797674807770532,False,ohlcv,3.521643973581763,7.746780035250141,9.792857004512793,3.521643973581763,7.746780035250141,11.5037477484457,4.225136061668378
A,^IXIC,2024-11-22,2024-11-25,19140.58984375,18689.830078125,2025-01-02,exit_a6_1_costbasis,25,0.5416853402891796,False,ohlcv,0.5842566153499517,1.3224330449024866,2.292353621706407,0.5842566153499517,1.595483320262231,2.292353621706407,0.738176429552535
A,^IXIC,2024-11-26,2024-11-27,19132.990234375,18969.349609375,2025-01-02,exit_a6_1_costbasis,23,1.538598169101498,False,ohlcv,3.6795808268881887,5.511469970400077,1.5870094528788312,3.6795808268881887,5.511469970400077,6.3608922944714985,1.8318891435118878
A,^IXIC,2024-11-29,2024-12-02,19255.4296875,18937.19921875,2025-01-02,exit_a6_1_costbasis,21,0.4060430603802831,False,ohlcv,1.8990634244540734,2.1094492248395054,0.9966673622448353,1.8990634244540734,2.4493598635030134,2.886150220334614,0.21038580038543214
A,^IXIC,2024-12-03,2024-12-04,19587.48046875,19255.4296875,2025-01-02,exit_a6_1_costbasis,19,-0.6118568907711343,False,ohlcv,0.30043526851361685,1.5707840715252044,1.3360919945885537,0.8200223516263749,1.766025527910123,1.766025527910123,1.2703488030115875
A,^IXIC,2024-12-24,2024-12-26,19979.25,19504.6796875,2024-12-31,structure_stop_C,3,-0.9437376574203636,False,ohlcv,-1.47177545476994,-1.7228619639476501,-0.7355090953987983,0.08662441353197795,0.08662441353197795,0.08662441353197795,-0.2510865091777101
A,^IXIC,2025-02-19,2025-02-20,20029.189453125,19909.740234375,2025-02-24,structure_stop_C,2,-3.83735480231532,False,ohlcv,-7.986068870793682,-12.360557899211878,-19.930982046502503,-0.5594852676673534,-0.5594852676673534,-0.5594852676673534,-4.374489028418195
A,^IXIC,2025-08-04,2025-08-05,21092.099609375,20560.169921875,2025-11-18,exit_a6_1_costbasis,74,2.7310163650917243,True,ohlcv,0.5513901332119201,1.0107913404908426,0.6714974958508967,0.6728707389075741,1.1675246375960169,1.1675246375960169,0.45940120727892253
A,^IXIC,2025-11-10,2025-11-11,23407.720703125,22563.419921875,2025-11-18,exit_a6_1_costbasis,5,-1.02478648891233,False,ohlcv,-0.8286743375851875,-0.6345024775493775,0.007046326240740998,0.07175177314808388,0.07175177314808388,0.07175177314808388,0.19417186003580997
A,^IXIC,2025-11-11,2025-11-12,23563.83984375,23290.05078125,2025-11-14,structure_stop_C,2,-3.808344171779139,False,ohlcv,-4.1308817234983595,-1.9659295191896133,-0.40085604223141674,-0.5748180910258239,-0.5748180910258239,-0.40085604223141674,2.164952204308746
A,^IXIC,2025-12-11,2025-12-12,23488.869140625,23308.94921875,2025-12-15,structure_stop_C,1,-1.013333850779972,False,ohlcv,-2.681802885398235,0.5793158848880253,-0.517168010942368,-1.6323885409090415,0.6916488455150404,0.6916488455150404,3.2611187702862603
A,^IXIC,2025-12-24,2025-12-26,23645.91015625,23377.490234375,2026-01-02,structure_stop_C,4,-0.700640364983157,False,ohlcv,-1.528497937146641,0.09477483246138062,-0.4862512824617444,-0.1967460034490035,0.09477483246138062,0.32780813644665324,1.6232727696080216
A,^IXIC,2026-01-12,2026-01-13,23735.119140625,23426.48046875,2026-01-21,structure_stop_C,5,-2.401431316960186,False,ohlcv,-2.5298152800541693,0.2656195617093714,-1.554988830739829,-0.08181087563202825,0.2656195617093714,0.3963536953481455,2.795434841763541
A,^IXIC,2026-01-22,2026-01-23,23440.919921875,22927.880859375,2026-02-04,exit_a6_1_costbasis,8,-0.48211009380377434,False,ohlcv,0.47598562487627344,-1.7548957651250972,-1.6446496824985914,0.8118861258736999,0.8118861258736999,0.8118861258736999,-2.2308813900013704
A,^IXIC,2026-01-23,2026-01-26,23529.279296875,23335.150390625,2026-02-04,structure_stop_C,7,-1.7297220254743702,False,ohlcv,-0.3474958246976679,-2.5656578867939714,-5.061633499003964,1.6904742741010523,1.6904742741010523,1.6904742741010523,-2.2181620620963036
