symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector
300347.SZ,cn_stock,C,v1,2025-01-24,2039,2.7745098039215583,0,0.013227513227513227,-0.14153704262074096,0.16859582153265196,0.2643861250585645,0.17065763104068088,-0.08966756885188332,True,31.0296159124203,0.701058201058201,2025,mid,0.7738095238095238,mid
300347.SZ,cn_stock,C,v3,2025-02-10,2044,0.35610465116278994,2,0.08994708994708994,0.030774491366045487,0.1479308604592482,0.28428950552896487,0.025248336742780264,-0.18226719006284442,True,26.38729624250989,0.5542328042328042,2025,mid,0.6124338624338624,mid
300347.SZ,cn_stock,C,v1,2025-04-08,2084,4.825242718446596,0,0.8134920634920635,-0.18155345041433735,0.14288321908084223,0.3767343631621776,-0.025477147438009218,0.16116492060354481,True,17.791675750471583,0.91005291005291,2025,high,0.9246031746031746,high
300347.SZ,cn_stock,C,v1,2025-05-20,2111,0.35026737967914545,2,0.14417989417989419,0.03884303253103982,-0.2897179343711944,0.3797469730111442,0.10122187353942724,0.5329950368342571,True,20.411543389459695,0.07671957671957672,2025,mid,0.25132275132275134,mid
300347.SZ,cn_stock,C,v1,2025-09-05,2188,0.42231075697210935,4,0.49074074074074076,0.020577711574194968,0.36349042056568304,0.3478093931281003,-0.184023232368829,-0.25985946222483036,True,24.34562004261525,0.8333333333333334,2025,mid,0.6917989417989417,mid
300347.SZ,cn_stock,C,v1,2025-10-27,2218,5.836601307189538,0,0.07275132275132275,-0.09176346176806693,-0.06422611630731379,0.35727943104977605,-0.05014178670021974,0.12394598959604863,False,35.26073125987884,0.8373015873015873,2025,mid,0.5462962962962963,mid
300347.SZ,cn_stock,C,v1,2026-03-24,2316,5.772455089820354,0,0.15343915343915343,-0.1910965619235946,0.09217882116086362,0.3603636565612075,0.17646212946034212,-0.1585899463834507,True,30.608722565894908,0.7129629629629629,2026,high,0.8571428571428571,high
300347.SZ,cn_stock,C,v1,2026-05-21,2354,16.126436781609243,0,0.14947089947089948,-0.2254521853490239,0.2624146186114955,0.34184321919392147,-0.11797393547818025,0.23530838607246052,False,32.94380589099274,0.31216931216931215,2026,mid,0.5846560846560847,mid
300347.SZ,cn_stock,C,v1,2026-06-10,2368,0.6050156739811903,0,0.5052910052910053,-0.21094978455757718,0.10435866039397634,0.4100002739592097,0.12448562333393709,,True,46.58967267443397,0.5370370370370371,2026,mid,0.6164021164021164,mid
300347.SZ,cn_stock,C,v1,2026-08-20,2418,0.6294416243654807,3,0.8346560846560847,0.15019680961259585,-0.25181013676588904,0.5262642509900675,,,True,38.16883073347754,0.783068783068783,2026,mid,0.791005291005291,mid
300383.SZ,cn_stock,A,early,2019-09-03,633,1.441666666666668,4,0.6661237785016286,0.03207393313400386,0.34428004330566586,0.2621813492399132,-0.04687911509086129,-0.03002370292336054,True,17.078996316956054,0.34958217270194986,2019,mid,0.2479108635097493,mid
300383.SZ,cn_stock,A,early,2020-02-05,731,0.5499999999999989,4,0.800561797752809,0.06378132118451041,0.3774668101901686,0.2349656420889139,0.35688793718772294,0.2850344991672613,True,23.225458983419564,0.9775132275132276,2020,high,0.9828042328042328,high
300383.SZ,cn_stock,A,early,2025-09-12,2095,2.2871287128712865,4,0.7473544973544973,0.01538461538461533,0.8817480719794344,0.34377969896145183,-0.12055335968379444,-0.1403162055335968,False,22.524211526599576,0.8505291005291006,2025,mid,0.6322751322751323,mid
300383.SZ,cn_stock,A,early,2026-04-22,2238,1.2429906542056088,4,0.9021164021164021,0.152005174644243,0.11575091575091578,0.770474006911113,-0.11734980348119028,-0.24761370016844464,False,14.475609508435404,0.7156084656084656,2026,mid,0.746031746031746,mid
300383.SZ,cn_stock,A,early,2026-05-07,2246,0.5409836065573776,4,0.7288359788359788,0.039145907473309594,0.14105263157894754,0.7757149090172775,-0.23287671232876717,-0.228310502283105,False,12.735447618211547,0.43783068783068785,2026,mid,0.6031746031746031,mid
300383.SZ,cn_stock,C,v1,2016-11-01,41,4.188679245283008,0,,-0.02396844660194175,,,-0.030463164438918278,-0.2751010258004353,True,28.408982750430734,,2016,na,,na
300383.SZ,cn_stock,C,v2,2016-11-16,52,1.2121212121212106,1,,-0.03313432835820895,,,-0.21148502624266752,-0.210558814448904,True,35.48293388518262,,2016,na,,na
300383.SZ,cn_stock,C,v1,2017-01-05,87,4.19047619047619,0,,-0.19374369323915241,,0.25820550535970527,0.040050062578222745,-0.02336253650396325,True,60.04253308599784,,2017,na,,na
300383.SZ,cn_stock,C,v2,2017-01-20,98,1.8613138686131394,1,,-0.04303197789182789,,0.31821702520394096,0.09117161716171629,-0.0622937293729372,True,50.70326815001744,,2017,na,,na
300383.SZ,cn_stock,C,v3,2017-02-06,104,1.3951120162932793,2,,0.030876904075751277,,0.3745137028763288,0.021565495207667595,-0.04832268370607029,False,40.665087817782364,,2017,na,,na
300383.SZ,cn_stock,C,v1,2017-03-20,134,0.9736842105263148,0,,-0.005997600959616212,,0.3942443621684848,-0.11504424778761058,0.05913113435237327,False,13.640552693618885,,2017,na,,na
300383.SZ,cn_stock,C,v1,2017-04-05,144,1.5652173913043423,0,,-0.050820953870211016,,0.4003918996458744,-0.01853377265238887,0.1165568369028005,False,12.958202723966599,,2017,na,,na
300383.SZ,cn_stock,C,v1,2017-04-24,157,1.4857142857142822,0,,-0.12026552128074963,,0.3509591569639413,0.039946737683089095,-0.013315579227696439,True,19.215635288390704,,2017,na,,na
300383.SZ,cn_stock,C,v1,2017-06-02,183,3.3191489361702056,0,,-0.04109014675052414,,0.4403760354389474,0.16090948841276775,0.09969392216878004,False,12.705585515911027,,2017,na,,na
300383.SZ,cn_stock,C,v1,2017-09-29,268,2.2127659574468157,0,,0.04117422798322523,-0.22583586626139818,0.3589935541489029,-0.06664225558403514,0.1420725009154158,False,23.845393934665893,,2017,na,,na
300383.SZ,cn_stock,C,v1,2018-04-25,315,1.9539473684210513,0,0.9324324324324325,-0.036453506333024244,0.008346709470305136,0.6026315385384757,0.016030779095864034,-0.12632253927540882,False,23.228813240668995,0.8,2018,mid,0.7142857142857143,mid
300383.SZ,cn_stock,C,v3,2018-05-21,331,0.7677165354330723,2,0.6730769230769231,0.06404098623118792,0.3222444889779561,0.595305714696022,-0.29250677099006905,-0.08967800180559726,False,12.10118684288426,0.7057356608478803,2018,mid,0.5037406483790524,mid
300383.SZ,cn_stock,C,v1,2018-08-07,381,1.2777777777777768,2,0.7541436464088398,0.012422360248447228,0.12225329604474622,0.4252531768581245,0.04186214363045826,-0.06712378202814862,False,13.820266261534123,0.881578947368421,2018,high,0.8596491228070176,high
300383.SZ,cn_stock,C,v1,2018-09-12,407,1.9999999999999953,0,0.422680412371134,-0.013272790778903198,0.3451286764705881,0.3899030815528359,-0.0906194690265486,-0.12176991150442484,False,14.761301253959056,0.7780082987551867,2018,mid,0.4149377593360996,mid
300383.SZ,cn_stock,C,v1,2018-10-22,419,0.6954314720812177,0,0.85,-0.06447042153737159,0.1914981427981841,0.42094171853559686,0.0704278682317303,0.055282090117379834,True,22.398942464971682,1.0,2018,high,1.0,high
300383.SZ,cn_stock,C,v3,2018-11-13,435,0.12080536912751658,2,0.7524038461538461,0.12149901380670602,0.23436816790555315,0.3904971550901391,-0.11537108688005637,0.05698206120295457,False,15.670682092320241,0.9673076923076923,2018,high,0.8903846153846153,high
300383.SZ,cn_stock,C,v1,2019-03-29,526,0.3636363636363634,4,0.8856015779092702,0.09023886759068134,0.17142857142857149,0.30163340311778253,-0.07195022991614819,-0.10603191777116583,False,28.249554849599143,0.8150572831423896,2019,high,0.9541734860883797,high
300383.SZ,cn_stock,C,v1,2019-04-16,537,0.5401069518716564,4,0.7123552123552124,0.01093194861984137,0.33544539694371966,0.33382687059023164,-0.16328737496620715,-0.047039740470397495,True,20.5792275744858,0.6446945337620579,2019,mid,0.729903536977492,mid
300383.SZ,cn_stock,C,v1,2019-05-27,563,2.6126126126126143,0,0.7408088235294118,-0.13459927394582527,0.10182516810758879,0.3521764131651868,0.06001936108422079,0.26847370119393377,False,28.30126405389622,0.9753086419753086,2019,high,0.9876543209876543,high
300383.SZ,cn_stock,C,v1,2019-10-25,665,1.249999999999999,0,0.28792569659442724,-0.11468461730241841,0.4480680609712868,0.3207875579369994,0.04787383835539294,0.21684032666854414,False,18.843793145514805,0.41333333333333333,2019,mid,0.328,mid
300383.SZ,cn_stock,C,v2,2019-11-13,678,0.8306451612903193,1,0.19878603945371776,-0.02766476810414964,0.42150370081807553,0.3367924314830266,0.08256624825662495,0.38884239888423977,True,17.48480942868755,0.23015873015873015,2019,mid,0.25132275132275134,mid
300383.SZ,cn_stock,C,v1,2019-12-25,708,1.8493150684931468,3,0.32365747460087085,0.022041458934662916,0.49621664675428123,0.2632431162161167,0.07599486521180987,0.2973042362002567,False,25.402634875594682,0.2724867724867725,2019,low,0.17724867724867724,low
300383.SZ,cn_stock,C,v1,2020-02-05,731,0.5045871559633018,4,0.800561797752809,0.06378132118451041,0.3774668101901686,0.2349656420889139,0.35688793718772294,0.2850344991672613,True,23.225458983419564,0.9775132275132276,2020,high,0.9828042328042328,high
300383.SZ,cn_stock,C,v1,2020-03-17,760,2.7272727272727266,0,0.9959514170040485,-0.027637721755368716,0.3348017621145374,0.45598209975114806,-0.08719032072210486,-0.07835605915114263,False,38.916020393268255,0.9841269841269841,2020,high,0.9523809523809523,high
300383.SZ,cn_stock,C,v1,2020-04-14,779,0.6645161290322562,0,0.7447089947089947,-0.06073752711496738,0.46755277560594233,0.47654189868441654,0.1688011757295822,0.21583035901742575,False,21.146407892723317,0.873015873015873,2020,high,0.8095238095238095,high
300383.SZ,cn_stock,C,v1,2020-06-16,821,1.263736263736266,0,0.2724867724867725,-0.08692462864478268,0.789174741062479,0.30071367369001495,0.0767222333801969,-0.08877284595300261,True,12.759414328883723,0.4351851851851852,2020,mid,0.2724867724867725,mid
300383.SZ,cn_stock,C,v1,2020-07-28,849,3.333333333333341,0,0.6455026455026455,-0.0220545560069646,0.4550354609929077,0.2932923481289131,0.05934718100890213,-0.19584569732937684,False,21.288665198843827,0.9259259259259259,2020,high,0.9365079365079365,high
300383.SZ,cn_stock,C,v3,2020-08-21,867,0.9066666666666663,2,0.20238095238095238,0.04852616803689602,0.43375436710561677,0.2899659526275098,-0.0868234844138458,-0.2807420156817747,True,17.404638240845973,0.39814814814814814,2020,mid,0.4775132275132275,mid
300383.SZ,cn_stock,C,v1,2020-10-09,896,2.2794117647058845,0,0.25,-0.11370319545187213,0.27123623011015896,0.2793188904775107,-0.1742977217429773,-0.24198186241981856,False,30.638030585392663,0.5277777777777778,2020,mid,0.6997354497354498,mid
