,S0,S2_v1,S3
1999-05-31,5582743.48038324,2989283.1622654656,1375342.3146897801
1999-06-30,5886658.718494681,3117003.8138434114,1375342.3146897801
1999-07-31,5698014.309326975,3057747.9829638926,1375342.3146897801
1999-08-31,5662378.405401267,3060898.2381300866,1407953.488351248
1999-09-30,5500707.352408074,2984192.136843091,1352269.0800113722
1999-10-31,5844719.067891436,3193571.382996191,1528966.6845524835
1999-11-30,5956130.2784782965,3231002.2461548466,1518323.8139084515
1999-12-31,6300656.051363862,3342173.3885158123,1518323.8139084515
2000-01-31,5979930.298632278,3239224.16009618,1518323.8139084515
2000-02-29,5859685.362320169,3187505.591898119,1487793.232248271
2000-03-31,6426433.12477016,3425022.662465255,1585223.1461481173
2000-04-30,6228526.2597220065,3397578.6369483224,1585223.1461481173
2000-05-31,6092027.791555482,3367685.803052797,1585223.1461481173
2000-06-30,6237831.640965978,3425560.4226616044,1584449.6752214073
2000-07-31,6135897.513077186,3402106.9631368583,1606542.4435754595
2000-08-31,6508341.000134797,3512506.0630900674,1606542.4435754595
2000-09-30,6160255.562956982,3432396.2533067656,1606542.4435754595
2000-10-31,6129765.467853745,3422857.835508549,1606542.4435754595
2000-11-30,5638963.666558918,3290963.3170937505,1606542.4435754595
2000-12-31,5661820.899155496,3297779.5368361203,1606542.4435754595
2001-01-31,5857926.992855807,3414091.824156118,1693510.9377901112
2001-02-28,5317294.602789887,3160217.7222090256,1537215.56794053
2001-03-31,4975899.240561328,3005655.724723141,1449281.957402756
2001-04-30,5358119.764381633,3167981.8689429983,1528492.4822144855
2001-05-31,5385393.598100815,3203768.414769182,1528492.4822144855
2001-06-30,5250568.1721516475,3174006.7497830465,1528492.4822144855
2001-07-31,5194176.284521873,3154022.26513517,1528492.4822144855
2001-08-31,4861185.917863364,3031787.605093198,1528492.4822144855
2001-09-30,4463913.248887278,2874867.7223126325,1456302.5774703177
2001-10-31,4544706.111760372,2924465.6150967767,1507172.7245501252
2001-11-30,4886358.502690033,3043281.8736640206,1507172.7245501252
2001-12-31,4923366.971288429,3052655.2923814747,1507172.7245501252
2002-01-31,4846691.278953354,3039533.461158755,1507172.7245501252
2002-02-28,4746043.865010202,3002440.0404506717,1507172.7245501252
2002-03-31,4920408.262085519,3072259.1864162344,1507172.7245501252
2002-04-30,4618208.468074916,3002298.566816314,1507172.7245501252
2002-05-31,4576268.293991627,2995198.177647627,1530699.864382321
2002-06-30,4244693.155629308,2840417.3233976723,1469931.6659185546
2002-07-31,3909344.2496371632,2622987.8629200365,1353800.7801334981
2002-08-31,3928427.452863894,2648654.373550238,1411130.6200829204
2002-09-30,3496204.9005584223,2461516.1813351624,1379952.736521284
2002-10-31,3798447.61993255,2676026.8795204023,1522115.3536988108
2002-11-30,4015223.5848698565,2750816.2342379503,1522115.3536988108
2002-12-31,3772974.8193012327,2673323.6655468494,1522115.3536988108
2003-01-31,3669539.8741292236,2659700.9034115253,1536878.9313703552
2003-02-28,3607144.45562656,2621289.6512066913,1510746.4440830941
2003-03-31,3637291.4095616248,2659347.8699340085,1551423.070560179
2003-04-30,3932072.444403148,2744212.027415528,1551423.070560179
2003-05-31,4132209.8579144296,2784451.6163930157,1551423.070560179
2003-06-30,4178995.625015541,2792650.472170119,1551423.070560179
2003-07-31,4246794.404521821,2811310.609049302,1551423.070560179
2003-08-31,4322698.2255335245,2840664.7796333623,1551423.070560179
2003-09-30,4271066.341934547,2821213.40598099,1551423.070560179
2003-10-31,4505810.497607042,2904261.822404584,1551423.070560179
2003-11-30,4537930.186084068,2915812.554107584,1551423.070560179
2003-12-31,4768300.665997485,2980862.146644492,1551423.070560179
2004-01-31,4850679.673400802,3001668.1579533177,1551423.070560179
2004-02-29,4909901.494142913,3016365.7801390504,1551423.070560179
2004-03-31,4829580.810268585,3008728.774637969,1551423.070560179
2004-04-30,4748488.516810907,3000641.4028087473,1551423.070560179
2004-05-31,4805866.640841652,3034875.2602126803,1599316.4488307927
2004-06-30,4892319.36993942,3058975.183869493,1599258.3624920822
2004-07-31,4724559.19708631,3019099.402081423,1625296.3033454414
2004-08-31,4735365.919093542,3039660.2354090186,1677528.438335307
2004-09-30,4779707.296133969,3060905.393780562,1677528.438335307
2004-10-31,4846691.278953354,3087360.258318954,1677528.438335307
2004-11-30,5033749.020110795,3139852.452848293,1677528.438335307
2004-12-31,5197135.517204827,3157280.1414710167,1677528.438335307
2005-01-31,,,
2005-02-28,,,
2005-03-31,,,
2005-04-30,,,
2005-05-31,,,
2005-06-30,,,
2005-07-31,,,
2005-08-31,,,
2005-09-30,,,
2005-10-31,,,
2005-11-30,,,
2005-12-31,,,
2006-01-31,,,
2006-02-28,,,
2006-03-31,,,
2006-04-30,,,
2006-05-31,,,
2006-06-30,,,
2006-07-31,,,
2006-08-31,,,
2006-09-30,,,
2006-10-31,,,
2006-11-30,,,
2006-12-31,,,
2007-01-31,,,
2007-02-28,,,
2007-03-31,,,
2007-04-30,,,
2007-05-31,,,
2007-06-30,,,
2007-07-31,,,
2007-08-31,,,
2007-09-30,6547236.090808083,3336363.2522612642,1677528.438335307
2007-10-31,6644281.438575506,3367018.1191975274,1677528.438335307
2007-11-30,6351644.577990021,3348952.1560207894,1733556.4561252259
2007-12-31,6296839.358370512,3328961.4126074514,1722488.7495045452
2008-01-31,5911703.050710821,3222227.4265759117,1676719.668175798
2008-02-29,5706205.201559448,3171373.831133127,1718733.897914165
2008-03-31,5672198.367527486,3170509.3666087086,1741797.3919370442
2008-04-30,5941892.668269388,3307370.097920578,1806525.5955600701
2008-05-31,6005317.510276568,3328769.814644746,1806525.5955600701
2008-06-30,5489086.095453968,3135921.266709031,1754440.63908717
2008-07-31,5434967.158170804,3101335.4201425416,1737142.9576038297
2008-08-31,5501221.933290321,3125890.9224757543,1711108.017812184
2008-09-30,5001758.107724341,2994865.1764084874,1803806.731007673
2008-10-31,4154337.621071119,2536828.0035264445,1498197.6341866471
2008-11-30,3843389.4285822725,2346948.8568844693,1386058.9760336562
2008-12-31,3873450.7935303105,2302243.954525372,1342594.9784088505
2009-01-31,3541661.290090392,2269607.4669941235,1325438.800836914
2009-02-28,3152322.2229056545,2106682.8499782844,1299750.056739038
2009-03-31,3421544.6063888124,2250143.029758798,1391775.6557501678
2009-04-30,3742913.4543531947,2313322.3196120495,1391775.6557501678
2009-05-31,3941592.714204762,2342526.8144745594,1391775.6557501678
2009-06-30,3942364.5855281325,2357218.767249598,1391775.6557501678
2009-07-31,4234658.3049454475,2467515.2798864897,1472202.409635083
2009-08-31,4376774.237453165,2484496.5282772915,1472202.409635083
2009-09-30,4533127.256689748,2498336.6416981914,1472202.409635083
2009-10-31,4443543.593454929,2495828.040409752,1472202.409635083
2009-11-30,4698443.301222195,2576132.0315452404,1472202.409635083
2009-12-31,4781937.321117055,2597810.3989418806,1472202.409635083
2010-01-31,4605128.795721075,2535748.5146978037,1441450.3840481653
2010-02-28,4736438.006221561,2595208.027565985,1486532.7187064348
2010-03-31,5014923.630805231,2669394.336976012,1486532.7187064348
2010-04-30,5088940.044521978,2677388.8815288353,1486532.7187064348
2010-05-31,4671769.899112309,2514642.5460202936,1396397.1675895106
2010-06-30,4420043.527365574,2422840.3744211895,1367966.141687281
2010-07-31,4724044.616204063,2592130.4427816346,1479109.8862036932
2010-08-31,4499892.555721179,2528320.561880398,1479109.8862036932
2010-09-30,4893863.112586162,2636050.6654651975,1479109.8862036932
2010-10-31,5074231.30227439,2666311.707972568,1479109.8862036932
2010-11-30,5062610.045320285,2674254.7388191028,1479109.8862036932
2010-12-31,5393198.685541612,2743134.1354683815,1479109.8862036932
2011-01-31,5515330.767408656,2767982.787205036,1479109.8862036932
2011-02-28,5691581.786558865,2803342.678397393,1479109.8862036932
2011-03-31,5685620.919309477,2811368.5908611626,1491817.4420483895
2011-04-30,5847634.851730822,2843591.990796498,1491817.4420483895
2011-05-31,5768686.209049138,2828127.14535491,1491817.4420483895
2011-06-30,5663364.641802237,2815860.8022474786,1531798.8611180482
2011-07-31,5541747.14081744,2819418.014583921,1551019.478085014
2011-08-31,5227025.180698767,2745155.3127015894,1469005.7348731172
2011-09-30,4851923.461982916,2597810.538281615,1411118.713347288
2011-10-31,5374587.399573626,2818681.383747755,1496976.0598679
2011-11-30,5347398.893101449,2892156.4697233825,1565275.3617942964
2011-12-31,5393026.984087516,2940002.3237640234,1577189.7306131104
2012-01-31,5628071.61730468,2992085.510163596,1577189.7306131104
2012-02-29,5856512.026299638,3016140.608036827,1577189.7306131104
2012-03-31,6040010.10316483,3054191.084721476,1577189.7306131104
2012-04-30,5994725.415086957,3057334.260961106,1577189.7306131104
2012-05-31,5619151.51737234,2957664.718986468,1570406.2840448485
2012-06-30,5699386.873999663,3012897.032709743,1610888.2143830035
2012-07-31,5915004.6393418815,3069138.4504576987,1610888.2143830035
2012-08-31,6031905.061659406,3093325.3566490193,1610888.2143830035
2012-09-30,6178095.239341619,3123428.281257095,1610888.2143830035
2012-10-31,6055834.381384003,3086238.64866498,1610888.2143830035
2012-11-30,6073073.626159345,3102891.09004647,1640720.3566857607
2012-12-31,6115999.51316356,3108084.4466745825,1640720.3566857607
2013-01-31,6424417.726604695,3169671.8470918597,1640720.3566857607
2013-02-28,6495475.954598576,3188100.657477953,1640720.3566857607
2013-03-31,6729233.350390058,3233813.730853024,1640720.3566857607
2013-04-30,6850936.702101904,3269448.085511716,1640720.3566857607
2013-05-31,6993181.410700195,3285609.2962452546,1640720.3566857607
2013-06-30,6888288.5736084925,3266290.745683478,1675337.3296300208
2013-07-31,7228997.653500708,3364390.242673704,1683548.2342677014
2013-08-31,7002744.344125311,3316693.9163073637,1683548.2342677014
2013-09-30,7211072.649869065,3394225.6496735746,1715482.730664704
2013-10-31,7532655.8629110465,3446777.6601004787,1715482.730664704
2013-11-30,7743942.87785771,3485190.766132605,1715482.730664704
2013-12-31,7926411.792958409,3533582.423107049,1715482.730664704
2014-01-31,7644367.0275625335,3483363.847933168,1715482.730664704
2014-02-28,7973969.431382891,3566024.3446699632,1715482.730664704
2014-03-31,8029246.306521122,3576050.7504724404,1715482.730664704
2014-04-30,8079033.969928689,3620871.968632341,1753289.5712462678
2014-05-31,8248938.317037837,3661674.972890296,1753289.5712462678
2014-06-30,8406149.32006486,3694129.1514602536,1753289.5712462678
2014-07-31,8279386.0102575915,3672047.002362173,1753289.5712462678
2014-08-31,8591148.737693312,3760273.3060370465,1782011.5956805146
2014-09-30,8457867.054390885,3737507.6278129984,1782011.5956805146
2014-10-31,8654101.924181769,3824738.9956701007,1863671.5542573081
2014-11-30,8866418.100892927,3851367.9130433183,1863671.5542573081
2014-12-31,8829280.332723916,3886983.468328917,1863671.5542573081
2015-01-31,8555212.356222935,3863283.5605084486,1863671.5542573081
2015-02-28,9024829.443658497,3956114.072623415,1863671.5542573081
2015-03-31,8867832.543969052,3929971.902121164,1863671.5542573081
2015-04-30,8943393.747292627,3946292.4507484892,1863671.5542573081
