,S0,S2_v1,S3
2023-04-28,789635.2158856398,873558.1140944791,956398.5941822516
2023-05-04,789862.5567617252,873758.9381692958,956673.9472692393
2023-05-05,787242.2571813259,871440.0411169206,953500.2655683549
2023-05-08,796214.3824461485,879379.5764116887,964367.2175703362
2023-05-09,789398.0758338609,873356.9525681662,956111.3724277213
2023-05-10,783320.6270688509,867987.1548284413,948750.4248178164
2023-05-11,782103.569447738,866911.8099731142,947276.3363090286
2023-05-12,771736.0415641837,857751.4649092173,934719.2860489845
2023-05-15,783716.5137668619,868335.8409042517,949229.9189865363
2023-05-16,779663.5747000963,864743.4023982845,944321.0380909275
2023-05-17,776128.0321099389,861609.5730632918,940038.8228415665
2023-05-18,775324.499703085,860897.3391235208,939065.5921030754
2023-05-19,773064.8097882007,858894.3983124085,936328.6773677577
2023-05-22,777923.2410969589,863200.2948524137,942213.1627353661
2023-05-23,766920.726628476,853433.3884261306,928887.0228185633
2023-05-24,756318.0185282815,844021.3891802826,916045.1245374974
2023-05-25,754634.5201441655,842526.9515920784,914006.087453683
2023-05-26,754722.7127254055,842605.2399407038,914112.9054615662
2023-05-29,751389.033154531,839643.5851324413,910075.1847635822
2023-05-30,752135.7303423636,840311.1075313899,910979.5772303265
2023-05-31,744451.2167636459,833441.4085122879,901672.1681434393
2023-06-01,746083.7594341564,834900.8472480471,903649.4881560322
2023-06-02,756855.0133562764,844529.9892549292,916695.5275188304
2023-06-05,753409.6231824979,841365.5987037453,912066.2427588557
2023-06-06,746336.5781670446,836625.8557937243,912066.2427588557
2023-06-07,742648.1684360711,834154.2026608179,912066.2427588557
2023-06-08,748694.2598388623,838205.7700970646,912066.2427588557
2023-06-09,751929.9476528034,840374.0481642424,912066.2427588557
2023-06-12,753444.9002149939,841305.1294213184,912066.2427588557
2023-06-13,757458.6425789862,844890.920105665,916924.9907791608
2023-06-14,757284.2172516448,844735.0922878394,916713.8440146064
2023-06-15,769333.2836841765,855499.4678383097,931299.5778177488
2023-06-16,776751.2596840353,862126.527281792,940279.2464001974
2023-06-19,770393.554494196,856359.4983969762,932116.773921245
2023-06-20,769086.3444567042,855487.562978245,932116.773921245
2023-06-21,757286.1770867835,847616.6137186037,932116.773921245
2023-06-26,746638.3927783994,840427.1328577073,932116.773921245
2023-06-27,753640.8837288606,846733.4723405378,940858.809339311
2023-06-28,752733.4800596574,845916.2780554692,939725.9903080867
2023-06-29,749017.6326367427,842569.840983136,935087.0596748225
2023-06-30,753056.8528575376,846207.502800688,940129.6947144625
2023-07-03,762940.3014618411,855021.3761712097,951992.1352046368
2023-07-04,764141.6804018447,855829.2841104399,951992.1352046368
2023-07-05,758222.9782830668,851849.0525011821,951992.1352046368
2023-07-06,753115.6479116976,848414.4552913392,951992.1352046368
2023-07-07,749774.1290002684,846167.3377768409,951992.1352046368
2023-07-10,753425.3018636073,848621.4389416409,951992.1352046368
2023-07-11,758356.2470724962,851953.8292845876,951992.1352046368
2023-07-12,753250.8765362658,848503.5602689374,951992.1352046368
2023-07-13,764026.0501286632,855785.5483871889,951992.1352046368
2023-07-14,764159.3189180926,855875.6129910522,951992.1352046368
2023-07-17,757901.5653203253,851645.9446495662,951992.1352046368
2023-07-18,755504.6869457342,850029.9354272534,951992.1352046368
2023-07-19,754707.0340442961,849492.1465854861,951992.1352046368
2023-07-20,749380.2021373962,845900.7213473454,951992.1352046368
2023-07-21,749031.3514827132,845665.5213133538,951992.1352046368
2023-07-24,745760.3866362761,843458.5536883776,951992.1352046368
2023-07-25,767298.9748102389,858074.7296182738,951992.1352046368
2023-07-26,765709.5485127792,856996.138291691,951992.1352046368
2023-07-27,764796.2653381597,856376.3805134078,951992.1352046368
2023-07-28,782511.215156581,868397.819478861,951992.1352046368
2023-07-31,786801.2942751256,871303.5144966431,951992.1352046368
2023-08-01,783542.0884395204,869137.9545194926,951992.1352046368
2023-08-02,778034.9516998631,865478.7701924972,951992.1352046368
2023-08-03,784910.0533663108,870046.8906975149,951992.1352046368
2023-08-04,787967.3961826331,872078.3239893699,951992.1352046368
2023-08-07,782003.617855666,868115.0909830781,951992.1352046368
2023-08-08,779961.4696411738,866754.876573999,951992.1352046368
2023-08-09,777578.3101125534,865167.5246340369,951992.1352046368
2023-08-10,779175.5757505678,866231.4159424818,951992.1352046368
2023-08-11,761248.9637371704,854291.0309138368,951992.1352046368
2023-08-14,755694.790954185,850502.997342958,951992.1352046368
2023-08-15,753858.4254292529,848849.4228712086,949678.7600722122
2023-08-16,748329.73050307,843871.0519162407,942713.945505969
2023-08-17,750832.4399751492,846124.6427384648,945866.7523833503
2023-08-18,741601.6164720224,837812.6515304183,934238.1537988039
2023-08-21,730932.2739771131,828203.1365657602,920797.3702119099
2023-08-22,736551.1213196745,833296.4230311024,927875.7549554119
2023-08-23,724478.5368654788,822353.0520417381,912667.2268703151
2023-08-24,729730.8950371095,827114.1290306172,919283.9241540909
2023-08-25,726932.2504590914,824577.256664901,915758.3108252732
2023-08-28,735451.6538068817,832299.7946017138,926490.6925762334
2023-08-29,742799.0757417487,840614.7636898758,935746.6620228289
2023-08-30,742485.5021195618,840259.8970443421,935351.6353193199
2023-08-31,737930.8452572969,835105.4590179648,929613.8724508516
2023-09-01,743069.5329908847,840920.8361716486,936087.3725546054
2023-09-04,754330.7456976719,853579.6180809203,950273.7690443726
2023-09-05,748719.7376956651,848499.7020501052,943205.2599684584
2023-09-06,747095.0343657092,847028.7798043679,941158.5278609024
2023-09-07,736598.1573630025,837525.4510369749,927935.0089609382
2023-09-08,732976.3820267438,834246.4832322433,923372.4505354092
2023-09-11,738375.7278337746,839133.3609363891,930174.316586455
2023-09-12,737015.602247539,837896.7778476586,928460.8882599847
2023-09-13,732321.7970904288,833629.3189175294,922547.8322918342
2023-09-14,731706.408856887,833069.8274335794,921772.5923861978
2023-09-15,726859.7365589608,828663.3865424688,915666.9609000867
2023-09-18,730569.7044764594,832035.6626915071,920340.6205859776
2023-09-19,729156.6633414797,830748.2272974732,918560.5315032902
2023-09-20,726254.1475011122,828103.7171468989,914904.0655789349
2023-09-21,719737.6956650406,822166.515087034,906694.9168966383
2023-09-22,732768.6395020451,834039.1335820841,923110.7453443345
2023-09-25,728000.3606096655,829694.4749247329,917103.8705341007
2023-09-26,723745.558523617,825815.1507171912,911743.8519508628
2023-09-27,725236.9930641435,827174.9691059242,913622.6977094276
2023-09-28,723085.0940818859,825212.9709576603,910911.8269565969
2023-10-09,722146.3330504638,824356.5200840945,909729.2157629669
2023-10-10,716737.1880677397,819416.7270066051,902915.0051274365
2023-10-11,718779.336282232,821281.6778713674,905487.6165340389
2023-10-12,725605.442070213,827515.4819615469,914086.8540860506
2023-10-13,717967.9645348233,820540.7089097439,904465.4849387093
2023-10-16,710753.811389386,813951.4881739444,895377.4018411052
2023-10-17,713262.4003668812,816249.7493249958,898537.6154691773
2023-10-18,707614.1554972396,811075.0707020817,891422.1969722213
2023-10-19,692515.5855889403,797242.4113991912,872401.6611982626
2023-10-20,688017.7639456969,793121.7009760172,866735.4969198053
2023-10-23,680893.7632166381,786594.998410336,857760.9839994599
2023-10-24,683419.9907103814,789513.3948163153,860943.4178796044
2023-10-25,686816.3850056933,793437.0418074417,865222.0508619864
2023-10-26,688713.505419924,795628.6692092941,867611.9624182158
2023-10-27,698169.7099639978,806552.8450501396,879524.4864459094
2023-10-30,702359.8374904703,811312.30424417,884803.0307715485
