,S0_bh,S1_dca,v1_hedge50
2018-02-28,3673056.322080541,4620373.003095949,5570601.182266154
2018-03-31,3523238.806329328,4431916.1038628565,5342833.600678438
2018-04-30,3541060.274717809,4454333.90097712,5369927.580543429
2018-05-31,3741941.9263521065,4707024.869653228,5675327.972137624
2018-06-30,3784788.8571743043,4760922.437530506,5740468.164610407
2018-07-31,3890627.2796896053,4894057.610857489,5901374.327114132
2018-08-31,4115531.0953584746,5176966.291555613,6243295.61667692
2018-09-30,4103940.0604656013,5162385.816877066,6225673.76537061
2018-10-31,3751177.298736896,4718642.133723943,5689368.412405104
2018-11-30,3741236.714492157,4706137.776847276,5674255.73150415
2018-12-31,3417217.0004086792,4298550.25078011,5181648.169388104
2019-01-31,3725137.209199456,4685886.053733087,5649779.761445778
2019-02-28,3836562.099159537,4826048.498384326,5759391.8069157
2019-03-31,3987130.4956110273,5015449.937698455,5988301.18386504
2019-04-30,4206394.740532409,5291264.547915248,6321648.970486328
2019-05-31,3860410.08436123,4856047.109171138,5795647.93743626
2019-06-30,4153417.4696637997,5224623.927506689,6241107.539795612
2019-07-31,4250391.888891242,5346608.985534765,6390736.365127405
2019-08-31,4169655.043543539,5245049.328429272,6267992.008403434
2019-09-30,4207925.885760463,5293190.590277568,6326175.231800019
2019-10-31,4392235.766729984,5525035.768669237,6606381.842301665
2019-11-30,4570974.75722352,5749873.270156058,6878119.018991403
2019-12-31,4748619.819681292,5973334.709007139,7148193.095116907
2020-01-31,4892903.617268413,6154830.690745336,7367547.986235731
2020-02-29,4596519.569957713,5782006.336675263,6916954.8730386775
2020-03-31,4261624.299479834,5360738.343239202,6407812.979064055
2020-04-30,4899748.987009369,6163441.547419976,7377955.111967697
2020-05-31,5223176.422256654,6570284.040221903,7795403.242067792
2020-06-30,5551539.986501567,6983335.737337777,8195090.855343813
2020-07-31,5959385.742062226,7496368.850141328,8815139.505596045
2020-08-31,6611624.579407254,8316826.379617126,9806739.40635245
2020-09-30,6229562.601442969,7836226.929539617,9225889.880472759
2020-10-31,6039879.728305549,7597623.012435133,8937514.660524368
2020-11-30,6717901.989224933,8450513.759309256,9992299.759180907
2020-12-31,7047241.5921736015,8864793.224932164,10492995.361620631
2021-01-31,7065659.233640473,8887960.95391652,10520995.735724475
2021-02-28,7056227.3790356675,8876096.532964628,10506656.469868818
2021-03-31,7177368.0492590275,9028480.55139425,10690826.853006406
2021-04-30,7601535.989961739,9562045.49844399,11351609.804594837
2021-05-31,7510225.923023046,9447185.683837213,11212790.942346418
2021-06-30,7980525.056809376,10038779.503965443,11927787.578067536
2021-07-31,8208840.936688182,10325980.253169473,12274896.629025768
2021-08-31,8555146.69082973,10761601.604150029,12801385.902243452
2021-09-30,8068944.179948698,10150002.772461073,12062211.333155181
2021-10-31,8703485.45661156,10948198.369522449,13026905.599945508
2021-11-30,8877281.945711145,11166818.650796471,13291128.721102266
2021-12-31,8979578.731957903,11295498.765674284,13446650.71286665
2022-01-31,8194132.737926406,10307478.66797064,12252535.727470364
2022-02-28,7827365.219185783,9846118.265786069,11694938.396001605
2022-03-31,8192737.1831312645,10305723.18612272,12250414.062955577
2022-04-30,7078874.167530128,8904584.146818412,10557006.077282313
2022-05-31,6966561.390348786,8763304.820260884,10386256.790426875
2022-06-30,6345986.990341908,7982678.29216558,9442796.34630335
2022-07-31,7142518.829846527,8984643.381900134,10653765.221347548
2022-08-31,6775950.9795240825,8523534.144546162,10259743.842641314
2022-09-30,6062067.70426462,7625533.48157179,9174425.728523424
2022-10-31,6304543.04877723,7930545.558018214,9543061.466504486
2022-11-30,6654074.6515472215,8370224.735127199,10121795.274753697
2022-12-31,6054301.1692327075,7615763.882185761,9261994.50059891
2023-01-31,6698655.228191795,8426303.072819108,10241607.22997942
2023-02-28,6674554.117247199,8395986.052716907,10204966.26412335
2023-03-31,7308150.863165913,9192993.51543778,11168224.629560994
2023-04-30,7345269.363714094,9239685.235577555,11224655.958155798
2023-05-31,7924355.215382019,9968122.918233553,12105041.305016898
2023-06-30,8423895.859814987,10596499.916868813,12864493.918569146
2023-07-31,8749065.7914351,11005534.312678218,13358850.398206186
2023-08-31,8619315.305732839,10842319.92424822,13161590.482372694
2023-09-30,8181466.538164724,10291545.733025188,12495928.149235241
2023-10-31,8012481.208290397,10078977.455382131,12239019.421777718
2023-11-30,8879335.981459852,11169402.442192119,13556900.432544602
2023-12-31,9375421.370996682,11793433.042340387,14356112.600110747
2024-01-31,9545979.266675172,12007979.46568828,14675921.692198085
2024-02-29,10050326.822069181,12642403.124021942,15442682.269232517
2024-03-31,10178465.799545292,12803590.38069858,15637492.207853967
2024-04-30,9733282.40380728,12243589.889900394,14960679.018711898
2024-05-31,10332057.544030903,12996794.918688828,15870998.038049791
2024-06-30,11000552.364400608,13837701.006128328,16887312.023770943
2024-07-31,10815952.539398305,13605491.104339032,16606664.547986822
2024-08-31,10935345.756940586,13755676.985173183,16788178.290638354
2024-09-30,11222027.122802677,14116296.242590284,17224020.533081084
2024-10-31,11124998.184184454,13994242.604094278,17076507.2475139
2024-11-30,11720276.294913808,14743048.685725488,17981509.726057153
2024-12-31,11773491.468578545,14809988.566357741,18062412.85888643
2025-01-31,12028199.689902749,15130388.49662789,18449646.267017823
2025-02-28,11703021.969798239,14721344.30360878,17955277.94176384
2025-03-31,10815207.677072335,13604554.13482913,16605532.132332647
2025-04-30,10966278.076745417,13794587.04884147,16835204.766777743
2025-05-31,11972792.411902264,15060691.146791592,18365410.48974188
2025-06-30,12737358.187309356,16022445.815933472,19527781.341547117
2025-07-31,13046069.63531047,16410776.926326862,19997115.962998122
2025-08-31,13170525.36771082,16567330.993468799,20186326.25769803
2025-09-30,13878603.389918348,17458029.17259177,21262818.66723559
2025-10-31,14542053.396530885,18292589.340109173,22271463.016906872
2025-11-30,14315047.398118854,18007036.30344632,21926345.351132993
2025-12-31,14219145.665606093,17886400.58839115,21780545.75861121
2026-01-31,14394134.500862459,18106520.73340536,22046581.628952183
2026-02-28,14056656.639762929,17682004.0742969,21533513.373100936
2026-03-31,13376560.517861826,16826504.59767515,20499561.901623275
2026-04-30,15475353.146179492,19466596.104217287,23690360.46155255
2026-05-31,17110864.065152552,21523921.07657476,26176830.92776098
2026-06-30,17085354.654620163,21491832.542826936,26138048.920766495
2026-07-31,15962184.400164574,20078985.837926008,24430490.974298496
2026-08-31,16504628.264920611,20761331.211545046,25255169.448557008
