,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
1999-10-31,5787937.311835647,4466200.225928144,4703617.413060038,4669322.258462009,4635027.10386398,4786364.959401719
1999-11-30,5898266.156596547,4551334.304763087,4793239.874639659,4758944.72004163,4724649.5654436005,4875821.808677795
1999-12-31,6239444.843306767,4814601.207214003,5070386.561054603,5036091.406456574,5001796.251858545,5152456.358956907
2000-01-31,5921834.958291128,4569520.919749041,4812385.312343897,4778090.157745868,4743795.003147839,4894931.8677505525
2000-02-29,5802758.207919405,4477636.612653063,4715656.7414217265,4681361.586823697,4647066.432225668,4798382.040428666
2000-03-31,6363999.985767093,4910712.857258878,5171565.346112006,5137270.191513977,5102975.036915948,5253448.176915126
2000-04-30,6168015.796420269,4759483.743400088,5012363.230672348,4978068.076074319,4943772.92147629,5094540.249211472
2000-05-31,6032843.4181190375,4655179.416317331,4902559.839662664,4868264.685064634,4833969.530466605,4984939.76260992
2000-06-30,6177230.775391408,4766594.383848572,5019848.753615944,4985553.599017914,4951258.444419885,5102011.939744351
2000-07-31,6076286.942967002,4688702.149898831,4937849.936690398,4903554.782092368,4869259.627494339,5020164.647478134
2000-08-31,6445112.121773861,4973302.173735779,5237454.455244452,5203159.300646422,5168864.146048393,5319215.530329756
2000-09-30,6100408.353098984,4707315.179304119,4957444.269953696,4923149.115355667,4888853.960757637,5039722.772601075
2000-10-31,6070214.470888473,4684016.3914484745,4932917.138774035,4898621.984176005,4864326.829577976,5015240.964821623
2000-11-30,5584180.835151159,4308973.709265342,4538101.70370199,4503806.54910396,4469511.394505931,4621155.104596387
2000-12-31,5606816.008519513,4326439.8998899255,4556488.735306913,4522193.580708884,4487898.426110854,4639508.159019633
2001-01-31,5801016.921107746,4476292.9672172805,4714242.257197631,4679947.102599601,4645651.948001572,4796970.170013503
2001-02-28,5265636.803414886,4063172.5974254822,4279341.627789194,4245046.473191164,4210751.318593135,4362873.188415896
2001-03-31,4927558.115255938,3802297.775863514,4004749.9847731716,3970454.8301751423,3936159.6755771134,4088752.179393909
2001-04-30,5306065.346394255,4094368.852336394,4312297.284413916,4278002.129815887,4243706.975217857,4395653.465265477
2001-05-31,5333074.213370817,4115209.9570847326,4334242.714835461,4303637.6552361855,4273032.59563691,4421235.1423755465
2001-06-30,5199558.623592975,4012184.0732329246,4225757.709218458,4195152.649619183,4164547.5900199073,4312978.013275293
2001-07-31,5143714.586145516,3969092.6160821067,4180382.927694861,4149777.868095585,4119172.80849631,4267698.543053962
2001-08-31,4813959.238578412,3714640.411702905,3912447.8439149214,3881842.7843156457,3851237.7247163705,4000326.2662099604
2001-09-30,4420546.09467366,3411067.3462867467,3592789.8648145166,3562184.805215241,3531579.7456159657,3684886.2758988193
2001-10-31,4500554.05059444,3472804.6339520323,3657807.3311176696,3627202.271518394,3596597.2119191187,3750953.735476127
2001-11-30,4838887.270407013,3733875.8621555516,3932749.5973615665,3902144.537762291,3871539.4781630156,4030336.1552164843
2001-12-31,4875536.199768099,3762155.6184441694,3962531.8921641037,3931926.832564828,3901321.7729655528,4060599.4163040775
2002-01-31,4799605.41585497,3703564.4371654345,3900827.68878048,3870222.6291812044,3839617.569581929,3997898.726864879
2002-02-28,4699935.796881907,3626655.436464027,3819832.417517136,3789227.35791786,3758622.298318585,3915595.4303138633
2002-03-31,4872606.234582181,3759894.74199194,3960150.892542848,3929545.832943572,3898940.773344297,4058179.964960073
2002-04-30,4573342.3276149575,3528970.93323264,3716957.8155161454,3686352.7559168697,3655747.6963175945,3811059.4648927925
2002-05-31,4531809.604549601,3496922.649510113,3683206.7667447734,3652601.7071454977,3621996.6475462224,3776763.356828578
2002-06-30,4203455.736260652,3243551.88170002,3416374.0959023256,3385769.03630305,3355163.9767037746,3505621.4976150705
2002-07-31,3871364.7626947598,2987297.4163768124,3146495.0044284374,3115889.9448291617,3085284.8852298865,3233730.877177159
2002-08-31,3890262.5715889665,3001879.7094815187,3161853.2181855943,3131248.1585863186,3100643.0989870434,3249499.9067355157
2002-09-30,3462239.0843269536,2671599.9409700176,2813999.3348463024,2783394.2752470267,2752789.2156477515,2892341.3038471793
2002-10-31,3761545.499635515,2902556.550838497,3057262.155917069,3026657.0963177932,2996052.036718518,3144277.321404612
2002-11-30,3976215.4745642603,3068204.3522696225,3231731.9810445295,3201126.921445254,3170521.8618459785,3324422.2106750025
2002-12-31,3736320.168614748,2883091.692628357,3036760.643800918,3006155.5842016423,2975550.524602367,3123108.9467166597
2003-01-31,3633890.0994267133,2804052.6198979113,2953512.6917089466,2922907.632109671,2892302.5725103957,3037152.5688954866
2003-02-28,3572100.8557275366,2756373.6076175123,2903293.3567353156,2872688.29713604,2842083.2375367647,2985300.8068221738
2003-03-31,3601954.930404543,2779410.1866064845,2927557.3173662554,2896952.2577669797,2866347.1981677045,3010353.490499732
2003-04-30,3893872.1518418943,3004665.0036670943,3164813.639830829,3134208.5802315534,3103603.520632278,3255322.0546848583
2003-05-31,4092065.219755102,3157598.5751626412,3325895.463642141,3290032.381349058,3254169.299055975,3416211.0562048214
2003-06-30,4138396.460644849,3193349.584093955,3363551.2750211237,3293177.312139724,3222803.3492583246,3419458.2159527615
2003-07-31,4205536.571408613,3245157.5359957116,3418119.5382131375,3347745.5753317378,3277371.6124503384,3475800.27227971
2003-08-31,4280702.982769258,3303158.8973295046,3479211.193732726,3408837.230851326,3338463.267969927,3538877.769987113
2003-09-30,4229572.705660715,3263704.7631758777,3437654.9557908988,3367280.992909499,3296907.0300280997,3495970.7071286933
2003-10-31,4462036.309397678,3443082.828900094,3626590.228118881,3556216.2652374813,3485842.302356082,3691047.499626067
2003-11-30,4493843.953395833,3467626.8588639824,3652441.9562358675,3582067.9933544677,3511694.0304730684,3717739.562677277
2003-12-31,4721976.371865927,3643662.8115736237,3837857.0488249827,3762314.7984982855,3686772.5481715887,3903845.4611265385
2004-01-31,4803555.062838607,3706612.1402244465,3904160.2977951895,3827658.5984650753,3751156.899134961,3971313.3232681453
2004-02-29,4862201.540447969,3751866.070499955,3951825.343161773,3875323.6438316586,3798821.9445015443,4020527.766128838
2004-03-31,4782661.176281912,3690489.5950356442,3887178.7484983555,3810677.049168241,3734175.3498381274,3953779.7726100567
2004-04-30,4702356.698760576,3628523.499633155,3821911.1191329523,3745409.419802838,3668907.720472724,3886390.5570674567
2004-05-31,4759177.391270008,3672368.5822680495,3868092.2539022537,3791590.5545721394,3715088.855242025,3934072.8534099064
2004-06-30,4844790.227514594,3738430.8161827167,3937674.262744138,3861172.5634140237,3784670.8640839094,4005916.6914246273
2004-07-31,4678659.853647572,3610238.0813061353,3802651.4595012222,3726149.760171108,3649648.060840994,3866504.843938005
2004-08-31,4689361.5877767475,3618495.9605488507,3811349.315937988,3734847.6166078737,3658345.91727776,3875485.432445277
2004-09-30,4733272.185985028,3652379.1063177995,3847037.744996128,3770536.045666014,3694034.3463359,3912333.9477285766
2004-10-31,4799605.41585497,3703564.4371654345,3900950.2140811943,3824448.51475108,3747946.8154209657,3967998.892739328
2004-11-30,4984845.881125688,3846503.2706858567,4051504.7834394434,3978399.5442767893,3905294.305114136,4126954.2464512032
2004-12-31,5146645.06972584,3971353.892547863,4183007.406943492,4109902.167780838,4036796.9286181848,4262731.487418824
2005-01-31,5016484.010152895,3870916.4962265533,4077218.7379149445,4004113.4987522904,3931008.259589637,4153504.0573980785
2005-02-28,5111312.343763027,3944089.770603231,4154290.6612054044,4081185.4220427503,4008080.182880097,4233081.276632222
2005-03-31,5013596.034913909,3868688.020869977,4074871.530096246,4001766.290933592,3928661.0517709386,4151080.5513636856
2005-04-30,4912779.727513518,3790894.1902477746,3992932.8687850013,3919827.629622347,3846722.390459694,4066478.3961749063
2005-05-31,5059927.53500086,3904439.2298080535,4112527.552138289,4039422.312975635,3966317.0738129816,4189960.6181064383
2005-06-30,5059205.411592511,3903882.010965528,4111940.644852084,4038835.40568943,3965730.1665267767,4189354.632842409
